pixel	spectra rep	type	type rep	file start	file end	notes
P1S1	1	PL	1	1	10	
P1S1	1	WA	1	11	20	
P1S1	1	SK	1	21	30	
P1S1	2	PL	1	31	40	
P1S1	2	WA	1	41	50	
P1S1	2	SK	1	51	60	
P1S1	3	PL	1	61	70	
P1S1	3	WA	1	71	80	
P1S1	3	SK	1	81	90	
P1S2	1	PL	1	91	100	
P1S2	1	WA	1	101	110	
P1S2	1	SK	1	111	120	
P1S2	2	PL	1	121	130	
P1S2	2	WA	1	131	140	
P1S2	2	SK	1	141	150	
P1S2	3	PL	1	151	160	
P1S2	3	WA	1	161	170	
P1S2	3	SK	1	171	180	
P1S3	1	PL	1	181	190	
P1S3	1	WA	1	191	200	
P1S3	1	SK	1	201	210	
P1S3	2	PL	1	211	220	
P1S3	2	WA	1	221	230	
P1S3	2	SK	1	231	240	
P1S3	3	PL	1	241	250	
P1S3	3	WA	1	251	260	
P1S3	3	SK	1	261	270	
P2S1x	1	PL	1	271	280	drifted too far to use these data; redid P2S1
P2S1x	1	WA	1	281	290	drifted too far to use these data; redid P2S1
P2S1x	1	SK	1	291	300	drifted too far to use these data; redid P2S1
P2S1x	1	SK	2	301	310	drifted too far to use these data; redid P2S1
P2S1x	2	PL	1	311	320	drifted too far to use these data; redid P2S1
P2S1x	2	WA	1	321	330	drifted too far to use these data; redid P2S1
P2S1x	2	SK	1	331	340	drifted too far to use these data; redid P2S1
P2S1x	3	PL	1	341	350	drifted too far to use these data; redid P2S1
P2S1x	3	WA	1	351	360	drifted too far to use these data; redid P2S1
P2S1x	3	SK	1	361	370	drifted too far to use these data; redid P2S1
P2S1	1	PL	1	371	380	
P2S1	1	WA	1	381	390	
P2S1	1	SK	1	391	400	
P2S1	2	PL	1	401	410	
P2S1	2	WA	1	411	420	
P2S1	2	SK	1	421	430	
P2S1	3	PL	1	431	440	
P2S1	3	WA	1	441	450	
P2S1	3	SK	1	451	460	
P2S2	1	PL	1	461	470	
P2S2	1	WA	1	471	480	
P2S2	1	SK	1	481	490	
P2S2	2	PL	1	491	500	
P2S2	2	WA	1	501	510	
P2S2	2	SK	1	511	520	
P2S2	3	PL	1	521	530	
P2S2	3	WA	1	531	540	
P2S2	3	SK	1	541	550	
P2S3	1	PL	1	551	560	
P2S3	1	WA	1	561	570	
P2S3	1	SK	1	571	580	
P2S3	2	PL	1	581	590	
P2S3	2	WA	1	591	600	
P2S3	2	SK	1	601	610	
P2S3	3	PL	1	611	620	
P2S3	3	PL	2	621	627	
P2S3	3	PL	3	628	637	
P2S3	3	WA	1	638	647	
P2S3	3	SK	1	648	657	
P3S1	1	PL	1	658	667	
P3S1	1	WA	1	668	677	
P3S1	1	SK	1	678	687	
P3S1	2	PL	1	688	697	
P3S1	2	SK	1	698	707	
P3S1	2	WA	1	708	717	
P3S1	2	SK	2	718	727	
P3S1	3	PL	1	728	737	
P3S1	3	WA	1	738	747	
P3S1	3	SK	1	748	757	
P3S2	1	PL	1	758	767	
P3S2	1	WA	1	768	777	
P3S2	1	SK	1	778	787	
P3S2	2	PL	1	788	797	
P3S2	2	WA	1	798	807	
P3S2	2	SK	1	808	817	
P3S2	3	PL	1	818	827	
P3S2	3	WA	1	828	837	
P3S2	3	SK	1	838	847	
P3S3	1	PL	1	848	857	
P3S3	1	WA	1	858	867	
P3S3	1	SK	1	868	877	
P3S3	2	PL	1	878	887	
P3S3	2	WA	1	888	897	
P3S3	2	SK	1	898	907	
P3S3	3	PL	1	908	917	
P3S3	3	SK	1	918	927	
P3S3	3	SK	1	928	937	
