pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P2S1	1	plate	1	na	Spec00371.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00372.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00373.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00374.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00375.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00376.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00377.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00378.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00379.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	plate	1	na	Spec00380.asd.txt	P2S1_1	P2S1_1_PL1
P2S1	1	water	1	na	Spec00381.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00382.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00383.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00384.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00385.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00386.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00387.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00388.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00389.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	water	1	na	Spec00390.asd.txt	P2S1_1	P2S1_1_WA1
P2S1	1	sky	1	na	Spec00391.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00392.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00393.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00394.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00395.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00396.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00397.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00398.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00399.asd.txt	P2S1_1	P2S1_1_SK1
P2S1	1	sky	1	na	Spec00400.asd.txt	P2S1_1	P2S1_1_SK1
