pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
P2S3	1	plate	1	na	Spec00551.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00552.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00553.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00554.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00555.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00556.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00557.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00558.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00559.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	plate	1	na	Spec00560.asd.txt	P2S3_1	P2S3_1_PL1
P2S3	1	water	1	na	Spec00561.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00562.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00563.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00564.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00565.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00566.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00567.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00568.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00569.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	water	1	na	Spec00570.asd.txt	P2S3_1	P2S3_1_WA1
P2S3	1	sky	1	na	Spec00571.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00572.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00573.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00574.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00575.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00576.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00577.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00578.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00579.asd.txt	P2S3_1	P2S3_1_SK1
P2S3	1	sky	1	na	Spec00580.asd.txt	P2S3_1	P2S3_1_SK1
