pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
CL03F	2	plate	1	na	Spec00181.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00182.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00183.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00184.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00185.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00186.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00187.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00188.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00189.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	plate	1	na	Spec00190.asd.txt	CL03F_2	CL03F_2_PL1
CL03F	2	water	1	na	Spec00191.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00192.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00193.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00194.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00195.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00196.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00197.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00198.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00199.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	water	1	na	Spec00200.asd.txt	CL03F_2	CL03F_2_WA1
CL03F	2	sky	1	na	Spec00201.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00202.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00203.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00204.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00205.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00206.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00207.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00208.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00209.asd.txt	CL03F_2	CL03F_2_SK1
CL03F	2	sky	1	na	Spec00210.asd.txt	CL03F_2	CL03F_2_SK1
