pixel	spec_rep	type	type_rep	notes	spec_file	spectra_id	unique_id
OA04C	2	plate	1	na	Spec00591.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00592.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00593.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00594.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00595.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00596.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00597.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00598.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00599.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	plate	1	na	Spec00600.asd.txt	OA04C_2	OA04C_2_PL1
OA04C	2	water	1	na	Spec00601.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00602.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00603.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00604.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00605.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00606.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00607.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00608.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00609.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	water	1	na	Spec00610.asd.txt	OA04C_2	OA04C_2_WA1
OA04C	2	sky	1	na	Spec00611.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00612.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00613.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00614.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00615.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00616.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00617.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00618.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00619.asd.txt	OA04C_2	OA04C_2_SK1
OA04C	2	sky	1	na	Spec00620.asd.txt	OA04C_2	OA04C_2_SK1
