uniqueID	waterbody	sample	site	rep	ci
ClearLake_20190807-P1S1_1	ClearLake_20190807	P1S1_1	P1S1	1	0.0024140267977181646
ClearLake_20190807-P1S1_2	ClearLake_20190807	P1S1_2	P1S1	2	0.0022686707429237524
ClearLake_20190807-P1S1_3	ClearLake_20190807	P1S1_3	P1S1	3	0.0021380933138911502
ClearLake_20190807-P1S2_1	ClearLake_20190807	P1S2_1	P1S2	1	0.0023620049338808754
ClearLake_20190807-P1S2_2	ClearLake_20190807	P1S2_2	P1S2	2	0.0019351941213377954
ClearLake_20190807-P1S2_3	ClearLake_20190807	P1S2_3	P1S2	3	0.001956762772785747
ClearLake_20190807-P1S3_1	ClearLake_20190807	P1S3_1	P1S3	1	0.0018499166468715427
ClearLake_20190807-P1S3_2	ClearLake_20190807	P1S3_2	P1S3	2	0.00196353902107638
ClearLake_20190807-P1S3_3	ClearLake_20190807	P1S3_3	P1S3	3	0.0018271074587407564
ClearLake_20190807-P2S1_1	ClearLake_20190807	P2S1_1	P2S1	1	0.0022761024271905606
ClearLake_20190807-P2S1_2	ClearLake_20190807	P2S1_2	P2S1	2	0.002390091580914884
ClearLake_20190807-P2S1_3	ClearLake_20190807	P2S1_3	P2S1	3	0.0020968886699746893
ClearLake_20190807-P2S2_1	ClearLake_20190807	P2S2_1	P2S2	1	0.0022657938405881177
ClearLake_20190807-P2S2_2	ClearLake_20190807	P2S2_2	P2S2	2	0.002301479496179795
ClearLake_20190807-P2S2_3	ClearLake_20190807	P2S2_3	P2S2	3	0.0025083306530498915
ClearLake_20190807-P2S3_1	ClearLake_20190807	P2S3_1	P2S3	1	0.0026457847014523324
ClearLake_20190807-P2S3_2	ClearLake_20190807	P2S3_2	P2S3	2	0.002495270626953365
ClearLake_20190807-P2S3_3	ClearLake_20190807	P2S3_3	P2S3	3	0.0025983758183244898
ClearLake_20190807-P3S1_1	ClearLake_20190807	P3S1_1	P3S1	1	0.0010362001979100175
ClearLake_20190807-P3S1_2	ClearLake_20190807	P3S1_2	P3S1	2	0.0010352290691716982
ClearLake_20190807-P3S1_3	ClearLake_20190807	P3S1_3	P3S1	3	0.0010279120969327272
ClearLake_20190807-P3S2_1	ClearLake_20190807	P3S2_1	P3S2	1	9.456138133971403e-4
ClearLake_20190807-P3S2_2	ClearLake_20190807	P3S2_2	P3S2	2	9.19628272992566e-4
ClearLake_20190807-P3S2_3	ClearLake_20190807	P3S2_3	P3S2	3	9.012544826430762e-4
ClearLake_20190807-P3S3_1	ClearLake_20190807	P3S3_1	P3S3	1	0.0010629708877177907
ClearLake_20190807-P3S3_2	ClearLake_20190807	P3S3_2	P3S3	2	0.0010037308199673878
ClearLake_20190807-P3S3_3	ClearLake_20190807	P3S3_3	P3S3	3	0.0010830392303786062
ClearLake_20190816-CL03C_1	ClearLake_20190816	CL03C_1	CL03C	1	0.0014114682951472505
ClearLake_20190816-CL03C_2	ClearLake_20190816	CL03C_2	CL03C	2	0.001970975536067463
ClearLake_20190816-CL03C_3	ClearLake_20190816	CL03C_3	CL03C	3	0.0016156796704361533
ClearLake_20190816-CL03C_4	ClearLake_20190816	CL03C_4	CL03C	4	0.0018135190447477756
ClearLake_20190816-CL03F_1	ClearLake_20190816	CL03F_1	CL03F	1	0.002316523654032507
ClearLake_20190816-CL03F_2	ClearLake_20190816	CL03F_2	CL03F	2	0.002089627539339124
ClearLake_20190816-CL03F_3	ClearLake_20190816	CL03F_3	CL03F	3	0.0016948706394331993
ClearLake_20190816-LA03C_1	ClearLake_20190816	LA03C_1	LA03C	1	0.0014522751218915128
ClearLake_20190816-LA03C_2	ClearLake_20190816	LA03C_2	LA03C	2	0.0015598234282426728
ClearLake_20190816-LA03C_4	ClearLake_20190816	LA03C_4	LA03C	4	0.0014749415316662193
ClearLake_20190816-LA03D_1	ClearLake_20190816	LA03D_1	LA03D	1	7.994083405803956e-4
ClearLake_20190816-LA03D_2	ClearLake_20190816	LA03D_2	LA03D	2	8.297027438732016e-4
ClearLake_20190816-LA03D_3	ClearLake_20190816	LA03D_3	LA03D	3	8.287973180002724e-4
ClearLake_20190816-OA04C_1	ClearLake_20190816	OA04C_1	OA04C	1	0.0014386713964140096
ClearLake_20190816-OA04C_2	ClearLake_20190816	OA04C_2	OA04C	2	0.001695847715268221
ClearLake_20190816-OA04C_3	ClearLake_20190816	OA04C_3	OA04C	3	0.0016375199787611692
