sample	type	time_stamp
Calaveras_P1S1_Rep1	plate	2018-10-26 17:31:04
Calaveras_P1S1_Rep1	water	2018-10-26 17:32:38
Calaveras_P1S1_Rep1	water	2018-10-26 17:32:42
Calaveras_P1S1_Rep1	water	2018-10-26 17:32:47
Calaveras_P1S1_Rep1	water	2018-10-26 17:32:51
Calaveras_P1S1_Rep1	water	2018-10-26 17:32:56
Calaveras_P1S1_Rep1	water	2018-10-26 17:33:00
Calaveras_P1S1_Rep1	water	2018-10-26 17:33:05
Calaveras_P1S1_Rep1	water	2018-10-26 17:33:09
Calaveras_P1S1_Rep1	water	2018-10-26 17:33:14
Calaveras_P1S1_Rep1	sky	2018-10-26 17:33:31
Calaveras_P1S1_Rep1	sky	2018-10-26 17:33:35
Calaveras_P1S1_Rep1	sky	2018-10-26 17:33:40
Calaveras_P1S1_Rep1	sky	2018-10-26 17:33:44
Calaveras_P1S1_Rep1	sky	2018-10-26 17:33:50
Calaveras_P1S1_Rep1	sky	2018-10-26 17:33:56
Calaveras_P1S1_Rep1	sky	2018-10-26 17:34:02
Calaveras_P1S1_Rep1	sky	2018-10-26 17:34:08
Calaveras_P1S1_Rep2	plate	2018-10-26 17:34:23
Calaveras_P1S1_Rep2	water	2018-10-26 17:34:30
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:07
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:12
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:16
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:21
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:25
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:30
Calaveras_P1S1_Rep2	sky	2018-10-26 17:35:34
Calaveras_P1S1_Rep3	plate	2018-10-26 17:35:54
Calaveras_P1S1_Rep3	water	2018-10-26 17:37:33
Calaveras_P1S1_Rep3	water	2018-10-26 17:37:38
Calaveras_P1S1_Rep3	water	2018-10-26 17:37:42
Calaveras_P1S1_Rep3	water	2018-10-26 17:37:46
Calaveras_P1S1_Rep3	water	2018-10-26 17:37:51
Calaveras_P1S1_Rep3	water	2018-10-26 17:37:55
Calaveras_P1S1_Rep3	water	2018-10-26 17:38:00
Calaveras_P1S1_Rep3	water	2018-10-26 17:38:04
Calaveras_P1S1_Rep3	water	2018-10-26 17:38:09
Calaveras_P1S1_Rep3	sky	2018-10-26 17:38:57
Calaveras_P1S1_Rep3	sky	2018-10-26 17:39:02
Calaveras_P1S1_Rep3	sky	2018-10-26 17:39:06
Calaveras_P1S1_Rep3	sky	2018-10-26 17:39:12
Calaveras_P1S2_Rep2	plate	2018-10-26 17:39:51
Calaveras_P1S2_Rep2	plate	2018-10-26 17:39:55
Calaveras_P1S2_Rep2	plate	2018-10-26 17:39:59
Calaveras_P1S2_Rep2	water	2018-10-26 17:40:25
Calaveras_P1S2_Rep2	water	2018-10-26 17:40:29
Calaveras_P1S2_Rep2	water	2018-10-26 17:40:33
Calaveras_P1S2_Rep2	water	2018-10-26 17:40:38
Calaveras_P1S2_Rep2	water	2018-10-26 17:40:42
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:12
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:16
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:21
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:25
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:29
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:34
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:38
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:43
Calaveras_P1S2_Rep2	sky	2018-10-26 17:42:47
Calaveras_P1S3_Rep1	plate	2018-10-26 17:44:26
Calaveras_P1S3_Rep1	water	2018-10-26 17:44:41
Calaveras_P1S3_Rep1	water	2018-10-26 17:44:45
Calaveras_P1S3_Rep1	water	2018-10-26 17:44:50
Calaveras_P1S3_Rep1	water	2018-10-26 17:44:54
Calaveras_P1S3_Rep1	water	2018-10-26 17:44:59
Calaveras_P1S3_Rep1	water	2018-10-26 17:45:04
Calaveras_P1S3_Rep1	water	2018-10-26 17:45:08
Calaveras_P1S3_Rep1	sky	2018-10-26 17:45:28
Calaveras_P1S3_Rep3	plate	2018-10-26 17:56:00
Calaveras_P1S3_Rep3	plate	2018-10-26 17:56:04
Calaveras_P1S3_Rep3	water	2018-10-26 17:56:16
Calaveras_P1S3_Rep3	water	2018-10-26 17:56:20
Calaveras_P1S3_Rep3	water	2018-10-26 17:56:25
Calaveras_P1S3_Rep3	water	2018-10-26 17:56:31
Calaveras_P1S3_Rep3	water	2018-10-26 17:56:37
Calaveras_P1S3_Rep3	water	2018-10-26 17:56:43
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:00
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:05
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:09
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:14
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:18
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:23
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:27
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:32
Calaveras_P1S3_Rep3	sky	2018-10-26 17:57:36
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:01
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:05
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:09
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:14
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:18
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:23
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:27
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:32
Calaveras_P2S1_Rep1	plate	2018-10-26 17:59:36
Calaveras_P2S1_Rep1	water	2018-10-26 17:59:55
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:00
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:04
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:10
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:16
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:22
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:28
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:34
Calaveras_P2S1_Rep1	water	2018-10-26 18:00:40
Calaveras_P2S1_Rep1	sky	2018-10-26 18:00:58
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:02
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:07
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:11
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:16
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:20
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:25
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:29
Calaveras_P2S1_Rep1	sky	2018-10-26 18:01:34
Calaveras_P2S1_Rep2	plate	2018-10-26 18:03:01
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:27
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:32
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:37
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:41
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:46
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:51
Calaveras_P2S1_Rep2	water	2018-10-26 18:03:56
Calaveras_P2S1_Rep2	water	2018-10-26 18:04:01
Calaveras_P2S1_Rep2	water	2018-10-26 18:04:05
Calaveras_P2S1_Rep2	sky	2018-10-26 18:04:28
Calaveras_P2S1_Rep2	sky	2018-10-26 18:04:32
Calaveras_P2S1_Rep2	sky	2018-10-26 18:04:37
Calaveras_P2S1_Rep2	sky	2018-10-26 18:04:42
Calaveras_P2S1_Rep2	sky	2018-10-26 18:04:47
Calaveras_P2S1_Rep2	sky	2018-10-26 18:04:51
