Lon,Lat,Pixel Value
-122.870080301,39.1165958965,0
-122.866628291,39.1167702795,0
-122.863176251,39.116944561,0
-122.859724182,39.1171187408,0
-122.856272082,39.1172928191,0
-122.852819953,39.1174667958,0
-122.849367794,39.1176406709,0
-122.845915605,39.1178144445,0
-122.883663619,39.1132082711,0
-122.880211859,39.1133830437,0
-122.869856399,39.1139067523,0
-122.866404519,39.1140811188,0
-122.862952609,39.1142553836,0
-122.859500669,39.1144295469,0
-122.8560487,39.1146036086,0
-122.8525967,39.1147775687,0
-122.849144671,39.1149514272,0
-122.845692612,39.1151251842,0
-122.842240523,39.1152988396,0
-122.886890828,39.1103443336,0
-122.883439228,39.1105191911,0
-122.879987597,39.1106939471,0
-122.876535937,39.1108686016,0
-122.873084247,39.1110431545,0
-122.869632527,39.1112176059,0
-122.866180777,39.1113919557,0
-122.862728997,39.1115662039,0
-122.859277187,39.1117403506,0
-122.855825347,39.1119143957,0
-122.852373477,39.1120883393,0
-122.848921578,39.1122621812,0
-122.845469649,39.1124359217,0
-122.842017689,39.1126095605,0
-122.8385657,39.1127830978,0
-122.835113682,39.1129565334,0
-122.831661633,39.1131298675,0
-122.890117777,39.1074803256,0
-122.886666337,39.107655268,0
-122.883214866,39.1078301089,0
-122.879763366,39.1080048482,0
-122.876311836,39.108179486,0
-122.872860275,39.1083540223,0
-122.869408685,39.1085284571,0
-122.865957064,39.1087027902,0
-122.862505414,39.1088770219,0
-122.859053734,39.109051152,0
-122.855602024,39.1092251805,0
-122.852150284,39.1093991075,0
-122.848698515,39.1095729329,0
-122.845246715,39.1097466568,0
-122.841794886,39.1099202791,0
-122.838343027,39.1100937998,0
-122.834891138,39.110267219,0
-122.831439219,39.1104405366,0
-122.827987271,39.1106137526,0
-122.889893187,39.1047912743,0
-122.886441876,39.1049662,0
-122.882990535,39.1051410243,0
-122.879539165,39.105315747,0
-122.876087764,39.1054903682,0
-122.872636333,39.1056648878,0
-122.869184873,39.1058393059,0
-122.865733382,39.1060136225,0
-122.862281862,39.1061878376,0
-122.858830311,39.1063619511,0
-122.855378731,39.106535963,0
-122.851927121,39.1067098734,0
-122.848475481,39.1068836823,0
-122.845023812,39.1070573896,0
-122.841572112,39.1072309954,0
-122.838120383,39.1074044996,0
-122.834668624,39.1075779022,0
-122.831216835,39.1077512033,0
-122.827765016,39.1079244028,0
-122.889668626,39.1021022207,0
-122.886217445,39.1022771298,0
-122.882766234,39.1024519374,0
-122.879314993,39.1026266434,0
-122.875863722,39.102801248,0
-122.872412421,39.102975751,0
-122.86896109,39.1031501525,0
-122.86550973,39.1033244525,0
-122.862058339,39.1034986509,0
-122.858606918,39.1036727478,0
-122.855155468,39.1038467432,0
-122.851703988,39.104020637,0
-122.848252478,39.1041944293,0
-122.844800938,39.1043681201,0
-122.841349368,39.1045417093,0
-122.837897768,39.104715197,0
-122.834446139,39.1048885831,0
-122.83099448,39.1050618677,0
-122.827542791,39.1052350507,0
-122.824091073,39.1054081321,0
-122.896346108,39.0990630754,0
-122.892895117,39.0992381708,0
-122.889444095,39.0994131648,0
-122.885993044,39.0995880572,0
-122.882541963,39.0997628481,0
-122.879090852,39.0999375375,0
-122.87563971,39.1001121254,0
-122.872188539,39.1002866118,0
-122.868737338,39.1004609967,0
-122.865286107,39.1006352801,0
-122.861834846,39.1008094619,0
-122.858383555,39.1009835423,0
-122.854932235,39.1011575211,0
-122.851480884,39.1013313983,0
-122.848029504,39.1015051741,0
-122.844578094,39.1016788483,0
-122.841126654,39.101852421,0
-122.837675184,39.1020258921,0
-122.834223684,39.1021992617,0
-122.830772155,39.1023725298,0
-122.827320596,39.1025456963,0
-122.823869007,39.1027187612,0
-122.820417389,39.1028917246,0
-122.896121348,39.0963740505,0
-122.892670486,39.0965491293,0
-122.889219595,39.0967241065,0
-122.885768673,39.0968989823,0
-122.882317722,39.0970737565,0
-122.87886674,39.0972484293,0
-122.875415729,39.0974230006,0
-122.871964687,39.0975974704,0
-122.868513616,39.0977718386,0
-122.865062515,39.0979461054,0
-122.861611383,39.0981202707,0
-122.858160222,39.0982943344,0
-122.854709031,39.0984682966,0
-122.851257811,39.0986421573,0
-122.84780656,39.0988159165,0
-122.844355279,39.0989895742,0
-122.840903969,39.0991631303,0
-122.837452629,39.0993365849,0
-122.834001259,39.099509938,0
-122.83054986,39.0996831896,0
-122.827098431,39.0998563396,0
-122.823646972,39.100029388,0
-122.820195483,39.100202335,0
-122.816743965,39.1003751803,0
-122.813292417,39.1005479242,0
-122.895896618,39.0936850233,0
-122.892445886,39.0938600853,0
-122.888995124,39.0940350459,0
-122.885544332,39.094209905,0
-122.88209351,39.0943846627,0
-122.878642659,39.0945593188,0
-122.875191777,39.0947338734,0
-122.871740865,39.0949083266,0
-122.868289923,39.0950826782,0
-122.864838952,39.0952569284,0
-122.86138795,39.0954310771,0
-122.857936919,39.0956051242,0
-122.854485858,39.0957790699,0
-122.851034767,39.095952914,0
-122.847583646,39.0961266566,0
-122.844132495,39.0963002978,0
-122.840681315,39.0964738374,0
-122.837230104,39.0966472754,0
-122.833778864,39.096820612,0
-122.830327595,39.096993847,0
-122.826876295,39.0971669805,0
-122.823424966,39.0973400125,0
-122.819973607,39.097512943,0
-122.816522218,39.0976857719,0
-122.8130708,39.0978584993,0
-122.895671918,39.0909959937,0
-122.892221316,39.0911710391,0
-122.888770684,39.091345983,0
-122.885320021,39.0915208255,0
-122.881869329,39.0916955664,0
-122.878418607,39.0918702059,0
-122.874967855,39.0920447439,0
-122.871517073,39.0922191805,0
-122.868066261,39.0923935155,0
-122.864615419,39.0925677491,0
-122.861164547,39.0927418811,0
-122.857713646,39.0929159117,0
-122.854262714,39.0930898408,0
-122.850811753,39.0932636684,0
-122.847360761,39.0934373944,0
-122.84390974,39.093611019,0
-122.84045869,39.0937845421,0
-122.837007609,39.0939579636,0
-122.833556499,39.0941312837,0
-122.830105359,39.0943045022,0
-122.826654189,39.0944776192,0
-122.82320299,39.0946506347,0
-122.81975176,39.0948235487,0
-122.816300502,39.0949963611,0
-122.812849213,39.0951690721,0
-122.809397895,39.0953416814,0
-122.898897691,39.0881318317,0
-122.895447248,39.0883069618,0
-122.891996776,39.0884819905,0
-122.888546273,39.0886569178,0
-122.885095741,39.0888317436,0
-122.881645178,39.0890064679,0
-122.878194585,39.0891810907,0
-122.874743963,39.0893556121,0
-122.871293311,39.089530032,0
-122.867842628,39.0897043505,0
-122.864391916,39.0898785674,0
-122.860941174,39.0900526829,0
-122.857490402,39.0902266969,0
-122.8540396,39.0904006094,0
-122.850588768,39.0905744204,0
-122.847137907,39.0907481299,0
-122.843687016,39.090921738,0
-122.840236095,39.0910952445,0
-122.836785144,39.0912686495,0
-122.833334163,39.0914419531,0
-122.829883153,39.0916151551,0
-122.826432113,39.0917882556,0
-122.822981043,39.0919612546,0
-122.819529944,39.0921341521,0
-122.816078814,39.0923069481,0
-122.812627656,39.0924796425,0
-122.809176467,39.0926522355,0
-122.898672921,39.0854428141,0
-122.895222608,39.0856179276,0
-122.891772266,39.0857929396,0
-122.888321893,39.0859678502,0
-122.88487149,39.0861426593,0
-122.881421057,39.086317367,0
-122.877970594,39.0864919732,0
-122.874520101,39.086666478,0
-122.871069578,39.0868408813,0
-122.867619026,39.0870151831,0
-122.864168443,39.0871893835,0
-122.86071783,39.0873634823,0
-122.857267188,39.0875374797,0
-122.853816516,39.0877113757,0
-122.850365814,39.0878851701,0
-122.846915082,39.0880588631,0
-122.843464321,39.0882324546,0
-122.840013529,39.0884059446,0
-122.836562708,39.0885793331,0
-122.833111857,39.0887526201,0
-122.829660976,39.0889258056,0
-122.826210066,39.0890988897,0
-122.822759126,39.0892718722,0
-122.819308156,39.0894447532,0
-122.815857157,39.0896175327,0
-122.812406128,39.0897902107,0
-122.808955069,39.0899627872,0
-122.805503981,39.0901352622,0
-122.898448182,39.0827537943,0
-122.894997999,39.0829288911,0
-122.891547785,39.0831038864,0
-122.888097542,39.0832787803,0
-122.884647269,39.0834535728,0
-122.881196965,39.0836282638,0
-122.877746632,39.0838028534,0
-122.874296269,39.0839773415,0
-122.870845876,39.0841517282,0
-122.867395453,39.0843260134,0
-122.863945,39.0845001972,0
-122.860494517,39.0846742795,0
-122.857044004,39.0848482603,0
-122.853593462,39.0850221397,0
-122.850142889,39.0851959175,0
