Lon,Lat,Pixel Value
-119.980235588,37.2453532532,254
-119.973479548,37.2455232473,254
-119.970101507,37.2456081001,254
-119.959967299,37.2458620812,254
-119.980129155,37.242652703,254
-119.976751263,37.2427377399,254
-119.973373356,37.2428226806,254
-119.969995435,37.2429075251,106
-119.963239551,37.2430769256,254
-119.959861588,37.2431614815,254
-119.956483611,37.2432459413,254
-119.980022737,37.2399521513,97
-119.976644964,37.2400371799,254
-119.973267178,37.2401221124,104
-119.969889377,37.2402069486,254
-119.966511563,37.2402916887,251
-119.963133734,37.2403763326,254
-119.979916332,37.2372515981,84
-119.97653868,37.2373366184,75
-119.973161014,37.2374215426,0
-119.969783334,37.2375063707,122
-119.966405639,37.2375911025,251
-119.96302793,37.2376757382,254
-119.979809942,37.2345510434,96
-119.976432411,37.2346360555,79
-119.973054864,37.2347209714,98
-119.969677304,37.2348057912,95
-119.96629973,37.2348905148,254
-119.983080964,37.2317653872,251
-119.979703567,37.2318504872,98
-119.976326155,37.231935491,89
-119.972948729,37.2320203987,96
-119.969571289,37.2321052102,87
-119.966193835,37.2321899256,254
-119.982974483,37.2290648377,103
-119.979597205,37.2291499295,64
-119.976219913,37.229234925,0
-119.972842608,37.2293198245,64
-119.969465288,37.2294046278,64
-119.966087953,37.2294893349,251
-119.982868015,37.2263642868,254
-119.979490858,37.2264493703,0
-119.976113686,37.2265343576,70
-119.9727365,37.2266192488,68
-119.9693593,37.2267040438,251
-119.982761562,37.2236637344,254
-119.979384524,37.2237488096,59
-119.976007473,37.2238337887,0
-119.972630407,37.2239186716,51
-119.969253327,37.2240034584,77
-119.965876234,37.224088149,254
-119.986032026,37.2208780175,100
-119.982655122,37.2209631805,100
-119.979278205,37.2210482474,0
-119.975901274,37.2211332182,46
-119.972524328,37.2212180929,0
-119.969147369,37.2213028714,251
-119.985925481,37.2181774704,254
-119.982548698,37.2182626251,104
-119.9791719,37.2183476838,251
-119.975795089,37.2184326463,0
-119.972418264,37.2185175127,0
-119.969041424,37.218602283,254
-119.982442287,37.2155620682,251
-119.97906561,37.2156471186,254
-119.975688918,37.2157320729,254
-119.972312213,37.215816931,254
