Lon,Lat,Pixel Value
-119.868141532,37.1426942876,177
-119.871413125,37.1399116762,176
-119.868039479,37.1399934199,172
-119.871310966,37.137210815,173
-119.881328962,37.1342641939,149
-119.877955595,37.1343462092,163
-119.874582215,37.1344281287,170
-119.881226471,37.1315633537,146
-119.877853224,37.131645361,168
-119.874479964,37.1317272725,169
-119.881123994,37.1288625119,0
-119.877750867,37.1289445113,163
-119.874377726,37.1290264148,159
-119.871004571,37.1291082225,0
-119.881021531,37.1261616688,0
-119.877648523,37.1262436601,134
-119.891037664,37.1232142991,0
-119.887664817,37.1232965699,0
-119.884291956,37.1233787449,0
-119.89093487,37.120513477,0
-119.887562142,37.1205957398,0
-119.884189401,37.1206779067,0
-119.880816646,37.1207599779,0
-119.887459481,37.1178949081,0
-119.884086859,37.1179770671,0
-119.880714224,37.1180591303,0
-119.890729322,37.1151118283,0
-119.887356834,37.115194075,0
-119.883984331,37.115276226,0
-119.880611815,37.1153582812,0
-119.8872542,37.1124932404,0
-119.883881817,37.1125753834,0
-119.87713701,37.1127393821,0
-119.880407039,37.1099565786,0
