Lon,Lat,Pixel Value
-121.003738138,35.8665372731,176
-121.00042324,35.8666478791,176
-120.997108323,35.866758394,0
-120.993793388,35.8668688176,0
-121.003602207,35.8638390491,178
-121.00028742,35.8639496442,162
-120.996972615,35.8640601482,162
-120.993657792,35.8641705609,150
-120.990342951,35.8642808825,149
-120.987028092,35.864391113,148
-120.990207485,35.8615826133,0
-120.986892737,35.8616928329,0
-120.983577972,35.8618029613,149
-120.980263189,35.8619129985,0
-120.986757401,35.8589945511,150
-120.983442747,35.8591046687,0
-120.980128076,35.8592146951,0
-120.976813386,35.8593246303,0
-120.973498679,35.8594344744,0
-120.976678403,35.8566263144,0
-120.973363808,35.8567361476,0
-120.970049194,35.8568458897,0
-120.976543438,35.8539279968,153
-120.973228954,35.8540378192,0
-120.969914453,35.8541475504,0
-120.966599933,35.8542571906,148
-120.969779729,35.8514492095,0
-120.966465321,35.8515588389,0
-120.966330727,35.8488604855,0
-120.963016413,35.8489700129,0
-120.962881949,35.8462716471,0
-120.959567728,35.8463810725,0
-120.962747502,35.8435732796,0
-120.959433394,35.8436826943,0
-120.956119267,35.8437920178,136
-120.959299077,35.8409843143,0
-120.955985062,35.8410936271,0
-120.95267103,35.8412028488,0
-120.955850875,35.8383952348,0
-120.952536954,35.8385044457,0
-120.952402896,35.8358060409,0
-120.952268856,35.8331076345,0
-120.94882123,35.830518314,0
-120.948687337,35.8278198935,0
-120.945373828,35.8279288792,0
-120.9420603,35.8280377738,0
-120.938746755,35.8281465774,0
-120.945240064,35.8252304463,139
-120.941926648,35.8253393302,0
-120.938613215,35.8254481231,0
-120.941793014,35.822640885,0
-120.938479692,35.8227496671,0
-120.935166353,35.8228583581,0
-120.931852995,35.8229669582,0
-120.93503296,35.8201598898,0
-120.931719714,35.8202684791,0
-120.92840645,35.8203769773,0
-120.934899584,35.8174614198,0
-120.93158645,35.8175699984,0
-120.928273298,35.8176784859,0
-120.931453204,35.814871516,0
-120.928140164,35.8149799929,0
-120.924827106,35.8150883787,0
-120.92151403,35.8151966735,0
-120.90826155,35.8156289423,0
-120.928007047,35.8122814982,0
-120.924694101,35.8123898733,0
-120.921381136,35.8124981574,0
-120.918068154,35.8126063505,0
-120.914755155,35.8127144525,0
-120.911442138,35.8128224636,0
-120.908129103,35.8129303836,0
-120.927873948,35.8095830018,0
-120.924561113,35.8096913663,0
-120.92124826,35.8097996397,0
-120.91793539,35.8099078221,0
-120.907996673,35.8102318232,0
-120.904683732,35.8103396416,0
-120.917802643,35.8072092921,0
-120.904551432,35.8076410689,0
-120.901238585,35.8077487856,0
-120.897925721,35.8078564113,0
-120.901106414,35.8050502007,0
-120.897793661,35.8051578158,0
-120.89448089,35.8052653398,0
-120.897661619,35.8024592186,0
-120.89434896,35.8025667321,0
-120.897529594,35.7997606198,0
-120.890904481,35.7999755345,0
-120.887591899,35.8000828554,0
