Lon,Lat,Pixel Value
-122.260250203,37.943829841,254
-122.260057737,37.9411373611,254
-122.256657906,37.9412897255,254
-122.249858168,37.9415941613,254
-122.256465588,37.9385972288,254
-122.253065855,37.9387494809,254
-122.249666096,37.9389016353,254
-122.256273296,37.93590473,254
-122.252873686,37.9360569675,254
-122.24947405,37.9362091072,254
-122.252681542,37.933364452,254
-122.249282029,37.933516577,254
-122.252489424,37.9306719344,254
-122.249090034,37.9308240448,254
-122.245690618,37.9309760575,254
-122.248898065,37.9281315105,254
-122.245498772,37.9282835086,254
-122.245306951,37.9255909576,254
-122.241907755,37.9257428434,254
-122.245115156,37.9228984046,254
-122.241716083,37.9230502757,254
-122.238316985,37.9232020492,254
-122.238125461,37.9205094649,254
-122.23472646,37.9206611261,254
-122.234535084,37.9179685251,254
-122.231136181,37.918120074,254
-122.230944954,37.9154274563,254
-122.230753752,37.9127348366,254
-122.227164015,37.9101936224,254
