Lon,Lat,Pixel Value
-119.969995435,37.2429075251,106
-119.980022737,37.2399521513,97
-119.973267178,37.2401221124,104
-119.979916332,37.2372515981,84
-119.97653868,37.2373366184,75
-119.973161014,37.2374215426,0
-119.969783334,37.2375063707,122
-119.979809942,37.2345510434,96
-119.976432411,37.2346360555,79
-119.973054864,37.2347209714,98
-119.969677304,37.2348057912,95
-119.979703567,37.2318504872,98
-119.976326155,37.231935491,89
-119.972948729,37.2320203987,96
-119.969571289,37.2321052102,87
-119.982974483,37.2290648377,103
-119.979597205,37.2291499295,64
-119.976219913,37.229234925,0
-119.972842608,37.2293198245,64
-119.969465288,37.2294046278,64
-119.979490858,37.2264493703,0
-119.976113686,37.2265343576,70
-119.9727365,37.2266192488,68
-119.979384524,37.2237488096,59
-119.976007473,37.2238337887,0
-119.972630407,37.2239186716,51
-119.969253327,37.2240034584,77
-119.986032026,37.2208780175,100
-119.982655122,37.2209631805,100
-119.979278205,37.2210482474,0
-119.975901274,37.2211332182,46
-119.972524328,37.2212180929,0
-119.982548698,37.2182626251,104
-119.975795089,37.2184326463,0
-119.972418264,37.2185175127,0
