Lon,Lat,Pixel Value
-121.138651181,37.0996962084,0
-121.135283893,37.0998138882,0
-121.138504217,37.0969989952,0
-121.135137047,37.0971166636,0
-121.141724303,37.0941840282,0
-121.138357272,37.0943017804,0
-121.134990221,37.0944194373,0
-121.131623151,37.094536999,0
-121.128256061,37.0946544653,0
-121.141577258,37.091486823,0
-121.138210346,37.0916045638,0
-121.134843414,37.0917222093,0
-121.131476463,37.0918397595,0
-121.128109492,37.0919572145,0
-121.124742501,37.0920745741,0
-121.121375491,37.0921918385,0
-121.118008461,37.0923090076,0
-121.148163763,37.0885538718,0
-121.144797008,37.0886717916,0
-121.134696627,37.0890249795,0
-121.12459607,37.0893773101,0
-121.121229179,37.0894945631,0
-121.15811631,37.0855023895,0
-121.154749733,37.0856205836,0
-121.14801652,37.0858566861,0
-121.144649884,37.0859745945,0
-121.141283229,37.0860924076,0
-121.137916554,37.0862101255,0
-121.134549859,37.0863277481,0
-121.131183145,37.0864452754,0
-121.127816411,37.0865627075,0
-121.124449658,37.0866800444,98
-121.121082886,37.0867972859,98
-121.157968731,37.0828052365,0
-121.154602273,37.0829234192,0
-121.151235795,37.0830415065,89
-121.141136243,37.0833951973,102
-121.137769687,37.0835129037,102
-121.134403111,37.0836305149,117
-121.131036516,37.0837480308,117
-121.127669901,37.0838654515,101
-121.124303266,37.0839827769,101
-121.120936612,37.0841000071,101
-121.151088473,37.0803443289,108
-121.147722094,37.0804623096,108
-121.144355696,37.080580195,114
-121.140989277,37.0806979852,114
-121.13762284,37.0808156802,114
-121.134256382,37.0809332799,121
-121.130889906,37.0810507844,121
-121.127523409,37.0811681937,115
-121.124156893,37.0812855077,115
-121.120790358,37.0814027265,115
-121.117423803,37.08151985,104
-121.114057229,37.0816368783,104
-121.150941171,37.0776471495,120
-121.147574911,37.0777651187,120
-121.144208631,37.0778829927,0
-121.140842331,37.0780007715,0
-121.137476012,37.078118455,0
-121.134109673,37.0782360433,114
-121.130743315,37.0783535363,114
-121.127376937,37.0784709342,118
-121.12401054,37.0785882368,118
-121.120644124,37.0787054442,108
-121.117277687,37.0788225563,108
-121.113911232,37.0789395732,108
-121.150793888,37.0749499684,124
-121.147427747,37.0750679261,124
-121.144061585,37.0751857886,121
-121.140695404,37.0753035559,121
-121.137329204,37.075421228,0
-121.133962984,37.0755388049,0
-121.130596744,37.0756562865,0
-121.127230485,37.075773673,113
-121.123864207,37.0758909641,113
-121.120497909,37.0760081601,0
-121.117131591,37.0761252609,0
-121.113765254,37.0762422664,0
-121.110398898,37.0763591766,0
-121.107032522,37.0764759917,0
-121.096933278,37.0768258654,0
-121.093566825,37.0769422995,0
-121.154012629,37.0721347441,120
-121.150646625,37.0722527856,120
-121.147280602,37.0723707318,120
-121.143914559,37.0724885829,114
-121.140548497,37.0726063387,114
-121.137182415,37.0727239994,121
-121.133816314,37.0728415648,121
-121.130450193,37.072959035,121
-121.127084052,37.07307641,114
-121.123717892,37.0731936898,114
-121.120351713,37.0733108744,106
-121.116985514,37.0734279637,106
-121.113619296,37.0735449578,119
-121.110253058,37.0736618567,112
-121.106886801,37.0737786604,112
-121.103520524,37.0738953689,113
-121.100154228,37.0740119821,113
-121.096787913,37.0741285001,0
-121.093421578,37.0742449229,0
-121.090055224,37.0743612504,0
-121.153865267,37.069437571,120
-121.150499382,37.069555601,120
-121.147133477,37.0696735358,120
-121.143767553,37.0697913754,122
