Lon,Lat,Pixel Value
-122.866852093,39.119459438,0
-122.853043236,39.1201560206,0
-122.88043615,39.116072138,0
-122.870080301,39.1165958965,0
-122.866628291,39.1167702795,0
-122.863176251,39.116944561,0
-122.859724182,39.1171187408,0
-122.856272082,39.1172928191,0
-122.852819953,39.1174667958,0
-122.849367794,39.1176406709,0
-122.883663619,39.1132082711,0
-122.880211859,39.1133830437,0
-122.876760069,39.1135577148,0
-122.873308249,39.1137322844,0
-122.869856399,39.1139067523,0
-122.866404519,39.1140811188,0
-122.862952609,39.1142553836,0
-122.859500669,39.1144295469,0
-122.8560487,39.1146036086,0
-122.8525967,39.1147775687,0
-122.886890828,39.1103443336,0
-122.883439228,39.1105191911,0
-122.879987597,39.1106939471,0
-122.876535937,39.1108686016,0
-122.873084247,39.1110431545,0
-122.862728997,39.1115662039,0
-122.859277187,39.1117403506,0
-122.855825347,39.1119143957,0
-122.852373477,39.1120883393,0
-122.835113682,39.1129565334,0
-122.831661633,39.1131298675,0
-122.886666337,39.107655268,0
-122.879763366,39.1080048482,0
-122.876311836,39.108179486,0
-122.862505414,39.1088770219,0
-122.859053734,39.109051152,0
-122.855602024,39.1092251805,0
-122.852150284,39.1093991075,0
-122.848698515,39.1095729329,0
-122.834891138,39.110267219,0
-122.831439219,39.1104405366,0
-122.827987271,39.1106137526,0
-122.889893187,39.1047912743,0
-122.886441876,39.1049662,0
-122.882990535,39.1051410243,0
-122.879539165,39.105315747,0
-122.876087764,39.1054903682,0
-122.858830311,39.1063619511,0
-122.855378731,39.106535963,0
-122.851927121,39.1067098734,0
-122.848475481,39.1068836823,0
-122.845023812,39.1070573896,0
-122.838120383,39.1074044996,0
-122.834668624,39.1075779022,0
-122.831216835,39.1077512033,0
-122.827765016,39.1079244028,0
-122.893119777,39.1019272101,0
-122.889668626,39.1021022207,0
-122.886217445,39.1022771298,0
-122.882766234,39.1024519374,0
-122.879314993,39.1026266434,0
-122.855155468,39.1038467432,0
-122.851703988,39.104020637,0
-122.848252478,39.1041944293,0
-122.844800938,39.1043681201,0
-122.841349368,39.1045417093,0
-122.834446139,39.1048885831,0
-122.83099448,39.1050618677,0
-122.827542791,39.1052350507,0
-122.896346108,39.0990630754,0
-122.892895117,39.0992381708,0
-122.889444095,39.0994131648,0
-122.885993044,39.0995880572,0
-122.882541963,39.0997628481,0
-122.879090852,39.0999375375,0
-122.87563971,39.1001121254,0
-122.872188539,39.1002866118,0
-122.868737338,39.1004609967,0
-122.865286107,39.1006352801,0
-122.848029504,39.1015051741,0
-122.844578094,39.1016788483,0
-122.820417389,39.1028917246,0
-122.899572179,39.0961988703,0
-122.896121348,39.0963740505,0
-122.892670486,39.0965491293,0
-122.889219595,39.0967241065,0
-122.885768673,39.0968989823,0
-122.882317722,39.0970737565,0
-122.87886674,39.0972484293,0
-122.875415729,39.0974230006,0
-122.871964687,39.0975974704,0
-122.868513616,39.0977718386,0
-122.854709031,39.0984682966,0
-122.851257811,39.0986421573,0
-122.84780656,39.0988159165,0
-122.844355279,39.0989895742,0
-122.840903969,39.0991631303,0
-122.837452629,39.0993365849,0
-122.834001259,39.099509938,0
-122.83054986,39.0996831896,0
-122.827098431,39.0998563396,0
-122.816743965,39.1003751803,0
-122.89934732,39.0935098597,0
