Lon,Lat,Pixel Value
-122.856272069,39.1172928205,125
-122.845915591,39.1178144459,119
-122.842463372,39.1179881178,121
-122.873308235,39.1137322858,122
-122.869856385,39.1139067538,102
-122.866404505,39.1140811202,110
-122.862952595,39.114255385,0
-122.859500656,39.1144295483,109
-122.856048686,39.11460361,0
-122.852596686,39.1147775701,120
-122.849144657,39.1149514287,108
-122.845692598,39.1151251856,122
-122.842240509,39.115298841,92
-122.883439214,39.1105191926,150
-122.873084233,39.1110431559,114
-122.869632513,39.1112176073,108
-122.866180763,39.1113919571,121
-122.862728983,39.1115662053,0
-122.859277173,39.111740352,0
-122.855825333,39.1119143971,0
-122.852373464,39.1120883407,115
-122.848921564,39.1122621827,102
-122.845469635,39.1124359231,108
-122.842017676,39.1126095619,86
-122.886666323,39.1076552694,143
-122.883214852,39.1078301103,141
-122.879763352,39.1080048497,159
-122.876311822,39.1081794875,134
-122.872860261,39.1083540238,105
-122.869408671,39.1085284585,111
-122.865957051,39.1087027917,0
-122.8625054,39.1088770233,0
-122.85905372,39.1090511534,0
-122.85560201,39.1092251819,107
-122.85215027,39.1093991089,107
-122.848698501,39.1095729343,100
-122.845246701,39.1097466582,105
-122.841794872,39.1099202805,85
-122.838343013,39.1100938012,106
-122.834891124,39.1102672204,87
-122.831439205,39.110440538,108
-122.827987257,39.110613754,112
-122.886441862,39.1049662015,132
-122.882990521,39.1051410257,126
-122.879539151,39.1053157484,153
-122.87608775,39.1054903696,146
-122.872636319,39.1056648893,106
-122.869184859,39.1058393074,83
-122.865733368,39.1060136239,84
-122.862281848,39.106187839,102
-122.858830297,39.1063619525,106
-122.855378717,39.1065359644,90
-122.851927107,39.1067098749,99
-122.848475467,39.1068836837,114
-122.845023798,39.107057391,86
-122.841572098,39.1072309968,85
-122.838120369,39.107404501,99
-122.83466861,39.1075779036,68
-122.831216821,39.1077512047,92
-122.827765002,39.1079244042,95
-122.889668612,39.1021022221,151
-122.886217431,39.1022771312,130
-122.88276622,39.1024519388,121
-122.879314979,39.1026266449,130
-122.875863708,39.1028012494,126
-122.872412407,39.1029757524,0
-122.868961077,39.1031501539,102
-122.865509716,39.1033244539,96
-122.862058325,39.1034986523,55
-122.858606905,39.1036727493,98
-122.855155454,39.1038467446,107
-122.851703974,39.1040206385,102
-122.848252464,39.1041944308,103
-122.844800924,39.1043681215,91
-122.841349354,39.1045417107,99
-122.837897755,39.1047151984,94
-122.834446125,39.1048885845,110
-122.830994466,39.1050618691,102
-122.827542777,39.1052350521,89
-122.824091059,39.1054081336,88
-122.892895103,39.0992381723,141
-122.889444081,39.0994131662,123
-122.88599303,39.0995880586,107
-122.882541949,39.0997628495,106
-122.879090838,39.099937539,123
-122.875639697,39.1001121269,124
-122.872188525,39.1002866133,102
-122.868737324,39.1004609982,94
-122.865286093,39.1006352815,104
-122.861834832,39.1008094634,91
-122.858383542,39.1009835437,77
-122.854932221,39.1011575225,88
-122.85148087,39.1013313998,94
-122.84802949,39.1015051755,100
-122.84457808,39.1016788497,99
-122.84112664,39.1018524224,98
-122.83767517,39.1020258935,81
-122.834223671,39.1021992631,98
-122.830772141,39.1023725312,89
-122.827320582,39.1025456977,108
-122.823868994,39.1027187627,104
-122.820417375,39.1028917261,127
-122.896121334,39.0963740519,102
-122.892670472,39.0965491307,117
-122.889219581,39.0967241079,118
-122.885768659,39.0968989837,118
-122.882317708,39.097073758,123
-122.878866726,39.0972484308,101
-122.875415715,39.097423002,100
