Lon,Lat,Pixel Value
-122.856495481,39.1199820288,125
-122.846138614,39.1205037038,119
-122.842686265,39.1206773923,121
-122.873532267,39.1164214133,122
-122.870080287,39.1165958979,102
-122.866628277,39.116770281,110
-122.863176238,39.1169445624,0
-122.859724168,39.1171187423,109
-122.856272069,39.1172928205,0
-122.852819939,39.1174667972,120
-122.84936778,39.1176406724,108
-122.845915591,39.1178144459,122
-122.842463372,39.1179881178,92
-122.883663605,39.1132082725,150
-122.873308235,39.1137322858,114
-122.869856385,39.1139067538,108
-122.866404505,39.1140811202,121
-122.862952595,39.114255385,0
-122.859500656,39.1144295483,0
-122.856048686,39.11460361,0
-122.852596686,39.1147775701,115
-122.849144657,39.1149514287,102
-122.845692598,39.1151251856,108
-122.842240509,39.115298841,86
-122.886890814,39.110344335,143
-122.883439214,39.1105191926,141
-122.879987583,39.1106939486,159
-122.876535923,39.110868603,134
-122.873084233,39.1110431559,105
-122.869632513,39.1112176073,111
-122.866180763,39.1113919571,0
-122.862728983,39.1115662053,0
-122.859277173,39.111740352,0
-122.855825333,39.1119143971,107
-122.852373464,39.1120883407,107
-122.848921564,39.1122621827,100
-122.845469635,39.1124359231,105
-122.842017676,39.1126095619,85
-122.838565687,39.1127830992,106
-122.835113668,39.1129565349,87
-122.831661619,39.113129869,108
-122.828209541,39.1133031015,112
-122.886666323,39.1076552694,132
-122.883214852,39.1078301103,126
-122.879763352,39.1080048497,153
-122.876311822,39.1081794875,146
-122.872860261,39.1083540238,106
-122.869408671,39.1085284585,83
-122.865957051,39.1087027917,84
-122.8625054,39.1088770233,102
-122.85905372,39.1090511534,106
-122.85560201,39.1092251819,90
-122.85215027,39.1093991089,99
-122.848698501,39.1095729343,114
-122.845246701,39.1097466582,86
-122.841794872,39.1099202805,85
-122.838343013,39.1100938012,99
-122.834891124,39.1102672204,68
-122.831439205,39.110440538,92
-122.827987257,39.110613754,95
-122.889893173,39.1047912757,151
-122.886441862,39.1049662015,130
-122.882990521,39.1051410257,121
-122.879539151,39.1053157484,130
-122.87608775,39.1054903696,126
-122.872636319,39.1056648893,0
-122.869184859,39.1058393074,102
-122.865733368,39.1060136239,96
-122.862281848,39.106187839,55
-122.858830297,39.1063619525,98
-122.855378717,39.1065359644,107
-122.851927107,39.1067098749,102
-122.848475467,39.1068836837,103
-122.845023798,39.107057391,91
-122.841572098,39.1072309968,99
-122.838120369,39.107404501,94
-122.83466861,39.1075779036,110
-122.831216821,39.1077512047,102
-122.827765002,39.1079244042,89
-122.824313154,39.1080975021,88
-122.893119763,39.1019272115,141
-122.889668612,39.1021022221,123
-122.886217431,39.1022771312,107
-122.88276622,39.1024519388,106
-122.879314979,39.1026266449,123
-122.875863708,39.1028012494,124
-122.872412407,39.1029757524,102
-122.868961077,39.1031501539,94
-122.865509716,39.1033244539,104
-122.862058325,39.1034986523,91
-122.858606905,39.1036727493,77
-122.855155454,39.1038467446,88
-122.851703974,39.1040206385,94
-122.848252464,39.1041944308,100
-122.844800924,39.1043681215,99
-122.841349354,39.1045417107,98
-122.837897755,39.1047151984,81
-122.834446125,39.1048885845,98
-122.830994466,39.1050618691,89
-122.827542777,39.1052350521,108
-122.824091059,39.1054081336,104
-122.820639311,39.1055811134,127
-122.896346094,39.0990630768,102
-122.892895103,39.0992381723,117
-122.889444081,39.0994131662,118
-122.88599303,39.0995880586,118
-122.882541949,39.0997628495,123
-122.879090838,39.099937539,101
-122.875639697,39.1001121269,100
-122.872188525,39.1002866133,103
-122.868737324,39.1004609982,114
-122.865286093,39.1006352815,114
-122.861834832,39.1008094634,67
-122.858383542,39.1009835437,0
-122.854932221,39.1011575225,64
-122.85148087,39.1013313998,75
-122.84802949,39.1015051755,99
-122.84457808,39.1016788497,90
-122.84112664,39.1018524224,101
-122.83767517,39.1020258935,85
-122.834223671,39.1021992631,107
-122.830772141,39.1023725312,88
-122.827320582,39.1025456977,103
-122.823868994,39.1027187627,118
-122.820417375,39.1028917261,91
-122.816965727,39.1030645879,96
-122.813514049,39.1032373482,116
-122.896121334,39.0963740519,116
-122.892670472,39.0965491307,115
-122.889219581,39.0967241079,99
-122.885768659,39.0968989837,94
-122.882317708,39.097073758,107
-122.878866726,39.0972484308,106
-122.875415715,39.097423002,103
-122.871964673,39.0975974718,91
-122.868513602,39.0977718401,79
-122.865062501,39.0979461068,72
-122.861611369,39.0981202721,78
-122.858160208,39.0982943358,38
-122.854709017,39.0984682981,60
-122.851257797,39.0986421588,87
-122.847806546,39.0988159179,87
-122.844355266,39.0989895756,98
-122.840903955,39.0991631317,105
-122.837452615,39.0993365864,109
-122.834001246,39.0995099394,94
-122.830549846,39.099683191,102
-122.827098417,39.099856341,105
-122.823646958,39.1000293895,116
-122.820195469,39.1002023364,105
-122.816743951,39.1003751818,106
-122.813292403,39.1005479256,112
-122.899347306,39.0935098612,101
-122.895896604,39.0936850247,111
-122.892445872,39.0938600868,115
-122.88899511,39.0940350474,103
-122.885544318,39.0942099065,108
-122.882093497,39.0943846641,98
-122.878642645,39.0945593202,102
-122.875191763,39.0947338749,96
-122.871740851,39.094908328,90
-122.868289909,39.0950826797,96
-122.864838938,39.0952569298,71
-122.861387936,39.0954310785,81
-122.857936905,39.0956051256,76
-122.854485844,39.0957790713,87
-122.851034753,39.0959529154,83
-122.847583632,39.0961266581,84
-122.844132481,39.0963002992,92
-122.840681301,39.0964738388,102
-122.83723009,39.0966472769,106
-122.83377885,39.0968206134,107
-122.830327581,39.0969938485,110
-122.826876281,39.097166982,109
-122.823424952,39.097340014,93
-122.819973593,39.0975129444,110
-122.816522204,39.0976857733,104
-122.813070786,39.0978585007,101
-122.809619338,39.0980311265,99
