Lon,Lat,Pixel Value
-121.213548079,40.3366770942,0
-121.210025689,40.3368055808,0
-121.209857866,40.3341101063,0
-121.209690066,40.33141463,0
-121.209522288,40.3287191519,0
-121.206000294,40.3288474951,0
-121.209354533,40.326023672,0
-121.205832678,40.326152003,0
-121.205665085,40.323456509,0
-121.205497515,40.3207610132,0
-121.205329967,40.3180655156,0
-121.201808507,40.3181937033,0
-121.208683739,40.3152417337,0
-121.205162442,40.3153700161,0
-121.208516097,40.3125462446,0
-121.204994939,40.3126745148,0
-121.201473758,40.3128026782,0
-121.204827459,40.3099790117,0
-121.201306417,40.3101071629,63
-121.204660002,40.3072835067,0
-121.208013308,40.304459766,0
-121.204492567,40.3045879998,0
-121.200971803,40.3047161268,0
-121.197451017,40.304844147,0
-121.193930209,40.3049720603,0
-121.186888524,40.3052275666,0
-121.183367648,40.3053551595,0
-121.17984675,40.3054826456,0
-121.207845756,40.3017642695,0
-121.204325155,40.3018924912,0
-121.20080453,40.302020606,0
-121.197283884,40.3021486141,0
-121.193763214,40.3022765153,0
-121.190242523,40.3024043097,0
-121.186721808,40.3025319974,0
-121.183201071,40.3026595782,0
-121.179680312,40.3027870522,0
-121.17615953,40.3029144194,0
-121.172638726,40.3030416798,0
-121.207678227,40.2990687712,0
-121.204157765,40.2991969807,0
-121.20063728,40.2993250834,0
-121.197116772,40.2994530793,0
-121.193596242,40.2995809684,0
-121.19007569,40.2997087507,0
-121.186555114,40.2998364263,0
-121.183034517,40.299963995,0
-121.179513897,40.3000914569,0
-121.175993254,40.3002188121,0
-121.172472589,40.3003460604,0
-121.168951902,40.3004732019,0
-121.211031022,40.2962449669,0
-121.207510721,40.296373271,0
-121.203990398,40.2965014683,0
-121.200470052,40.2966295589,0
-121.196949684,40.2967575427,0
-121.193429293,40.2968854197,0
-121.189908879,40.2970131899,0
-121.186388443,40.2971408534,0
-121.182867985,40.29726841,0
-121.179347504,40.2973958598,0
-121.175827,40.2975232029,0
-121.172306474,40.2976504392,0
-121.168785926,40.2977775686,0
-121.165265355,40.2979045913,0
-121.214383538,40.2934210783,0
-121.210863399,40.293549477,0
-121.207343238,40.293677769,0
-121.203823053,40.2938059542,0
-121.200302847,40.2939340326,0
-121.196782617,40.2940620043,0
-121.193262366,40.2941898691,0
-121.189742091,40.2943176273,0
-121.186221794,40.2944452786,0
-121.182701475,40.2945728232,0
-121.179181133,40.2947002609,0
-121.175660769,40.2948275919,0
-121.172140382,40.2949548161,0
-121.168619973,40.2950819336,0
-121.165099542,40.2952089442,0
-121.217735776,40.2905971054,0
-121.214215799,40.2907255987,0
-121.210695799,40.2908539853,0
-121.207175777,40.2909822651,0
-121.200135664,40.2912385044,0
-121.196615574,40.291366464,0
-121.193095461,40.2914943168,0
-121.189575326,40.2916220628,0
-121.186055168,40.291749702,0
-121.182534988,40.2918772345,0
-121.179014785,40.2920046602,0
-121.17549456,40.2921319791,0
-121.171974312,40.2922591913,0
-121.168454042,40.2923862967,0
-121.16493375,40.2925132953,0
-121.217567921,40.2879016362,0
-121.214048082,40.2880301173,0
-121.210528222,40.2881584917,0
-121.207008338,40.2882867594,0
-121.203488432,40.2884149203,0
-121.199968504,40.2885429745,0
-121.192928579,40.2887987625,0
-121.189408583,40.2889264964,0
-121.185888564,40.2890541236,0
-121.182368523,40.289181644,0
-121.17884846,40.2893090576,0
-121.175328374,40.2894363645,0
-121.171808265,40.2895635646,0
-121.168288134,40.2896906579,0
-121.220919764,40.2850775894,0
-121.217400088,40.2852061651,0
-121.213880388,40.2853346341,0
-121.210360667,40.2854629963,0
-121.206840923,40.2855912519,0
-121.203321156,40.2857194006,0
-121.199801366,40.2858474426,0
-121.196281554,40.2859753779,0
-121.19276172,40.2861032065,0
-121.189241863,40.2862309283,0
-121.185721983,40.2863585433,0
-121.182202081,40.2864860516,0
-121.178682156,40.2866134532,0
-121.175162209,40.286740748,0
-121.17164224,40.2868679361,0
-121.168122248,40.2869950173,0
-121.164602234,40.2871219919,0
-121.224271329,40.2822534585,0
-121.220751815,40.2823821287,0
-121.217232277,40.2825106922,0
-121.213712717,40.282639149,0
-121.210193135,40.2827674991,0
-121.206673529,40.2828957425,0
-121.203153901,40.2830238791,0
-121.199634251,40.283151909,0
-121.196114578,40.2832798322,0
-121.192594883,40.2834076486,0
-121.189075165,40.2835353583,0
-121.185555424,40.2836629613,0
-121.182035661,40.2837904575,0
-121.178515876,40.283917847,0
-121.174996068,40.2840451297,0
-121.171476238,40.2841723057,0
-121.167956385,40.284299375,0
-121.16443651,40.2844263375,0
-121.227622617,40.2794292434,0
-121.224103264,40.2795580081,0
-121.220583888,40.2796866662,0
-121.21706449,40.2798152175,0
-121.213545069,40.2799436621,0
-121.210025625,40.2800720001,0
-121.206506159,40.2802002313,0
-121.20298667,40.2803283557,0
-121.199467159,40.2804563735,0
-121.195947625,40.2805842845,0
-121.192428068,40.2807120889,0
-121.188908489,40.2808397865,0
-121.185388888,40.2809673773,0
-121.181869264,40.2810948615,0
-121.178349617,40.2812222389,0
-121.174829949,40.2813495096,0
-121.171310257,40.2814766735,0
-121.167790544,40.2816037307,0
-121.164270808,40.2817306812,0
-121.223935221,40.2768625559,0
-121.220415984,40.2769912018,0
-121.216896725,40.2771197409,0
-121.213377443,40.2772481734,0
-121.209858138,40.2773764992,0
-121.206338811,40.2775047182,0
-121.202819461,40.2776328305,0
-121.199300089,40.2777608362,0
-121.195780694,40.2778887351,0
-121.192261276,40.2780165273,0
-121.188741836,40.2781442128,0
-121.185222374,40.2782717916,0
-121.181702889,40.2783992637,0
-121.178183382,40.278526629,0
-121.174663852,40.2786538876,0
-121.1711443,40.2787810395,0
-121.167624725,40.2789080847,0
-121.164105128,40.2790350231,0
-121.227286275,40.2740383615,0
-121.2237672,40.2741671019,0
-121.216728982,40.2744242625,0
-121.213209839,40.2745526828,0
-121.209690674,40.2746809964,0
-121.206171485,40.2748092033,0
-121.202652274,40.2749373035,0
-121.199133041,40.275065297,0
-121.195613785,40.2751931838,0
-121.192094507,40.2753209639,0
-121.188575206,40.2754486373,0
-121.185055882,40.275576204,0
-121.181536537,40.275703664,0
-121.178017168,40.2758310173,0
-121.174497777,40.2759582638,0
-121.170978364,40.2760854037,0
-121.167458929,40.2762124368,0
-121.163939471,40.2763393632,0
-121.234155943,40.2710851415,0
-121.230637052,40.271214083,0
-121.227118139,40.2713429179,0
-121.223599203,40.271471646,0
-121.220080244,40.2716002675,0
-121.216561262,40.2717287823,0
-121.213042258,40.2718571904,0
-121.209523232,40.2719854918,0
-121.206004182,40.2721136866,0
-121.202485111,40.2722417746,0
-121.198966016,40.272369756,0
-121.195446899,40.2724976307,0
-121.19192776,40.2726253987,0
-121.188408598,40.27275306,0
-121.184889413,40.2728806146,0
-121.181370207,40.2730080625,0
-121.177850977,40.2731354037,0
-121.174331725,40.2732626382,0
-121.170812451,40.273389766,0
-121.167293155,40.2735167871,0
-121.163773836,40.2736437015,0
-121.233987551,40.2683897204,0
-121.230468799,40.2685186497,0
-121.226950025,40.2686474723,0
-121.223431228,40.2687761883,0
-121.219912408,40.2689047976,0
-121.216393565,40.2690333002,0
-121.2128747,40.2691616961,0
-121.209355812,40.2692899854,0
-121.205836902,40.269418168,0
-121.202317969,40.2695462439,0
-121.198799014,40.2696742132,0
-121.195280036,40.2698020758,0
-121.191761035,40.2699298316,0
-121.188242012,40.2700574808,0
-121.184722967,40.2701850234,0
-121.181203899,40.2703124592,0
-121.177684809,40.2704397883,0
-121.174165696,40.2705670108,0
-121.170646561,40.2706941265,0
-121.167127403,40.2708211356,0
-121.114337366,40.2727134666,0
-121.110817853,40.2728387682,0
-121.233819182,40.2656942975,0
-121.230300569,40.2658232145,0
-121.226781934,40.265952025,0
-121.223263275,40.2660807287,0
-121.219744594,40.2662093258,0
-121.216225891,40.2663378163,0
-121.212707165,40.2664662,0
-121.209188416,40.2665944772,0
-121.205669644,40.2667226476,0
-121.20215085,40.2668507114,0
-121.198632034,40.2669786685,0
-121.195113195,40.267106519,0
-121.191594333,40.2672342628,0
-121.188075449,40.2673618999,0
-121.184556543,40.2674894303,0
-121.181037614,40.267616854,0
-121.177518663,40.2677441711,0
-121.173999689,40.2678713815,0
-121.170480692,40.2679984852,0
-121.166961674,40.2681254822,0
-121.163442633,40.2682523726,0
-121.117693074,40.2698922374,0
-121.114173722,40.2700176339,0
-121.110654348,40.2701429237,0
-121.107134952,40.2702681067,0
-121.233650836,40.2629988727,0
-121.230132362,40.2631277775,0
-121.226613865,40.2632565757,0
-121.223095346,40.2633852673,0
-121.219576804,40.2635138522,0
-121.216058239,40.2636423305,0
-121.212539652,40.2637707021,0
-121.209021042,40.2638989671,0
-121.205502409,40.2640271254,0
-121.201983754,40.264155177,0
-121.198465077,40.264283122,0
-121.194946377,40.2644109604,0
-121.191427654,40.264538692,0
-121.187908909,40.264666317,0
-121.184390141,40.2647938354,0
-121.180871351,40.2649212471,0
-121.177352539,40.2650485521,0
-121.173833704,40.2651757504,0
-121.170314847,40.2653028421,0
-121.166795967,40.265429827,0
-121.163277065,40.2655567054,0
