Lon,Lat,Pixel Value
-121.003738125,35.8665372743,0
-121.000423226,35.8666478803,0
-120.997108309,35.8667583951,0
-120.993793374,35.8668688188,0
-120.990478422,35.8669791513,0
-121.000287407,35.8639496454,0
-120.996972602,35.8640601493,0
-120.993657778,35.8641705621,0
-120.990342937,35.8642808837,0
-120.9935222,35.8614723038,0
-120.990207471,35.8615826145,0
-120.986892724,35.861692834,0
-120.983577959,35.8618029625,0
-120.980263175,35.8619129997,0
-120.986757387,35.8589945523,0
-120.983442734,35.8591046698,0
-120.980128062,35.8592146962,0
-120.976813373,35.8593246315,0
-120.979992968,35.8565163911,0
-120.97667839,35.8566263155,0
-120.973363794,35.8567361488,0
-120.976543425,35.8539279979,0
-120.973228941,35.8540378203,0
-120.969914439,35.8541475516,0
-120.973094105,35.8513394903,0
-120.969779715,35.8514492107,0
-120.966465308,35.85155884,0
-120.966330714,35.8488604867,0
-120.9630164,35.848970014,0
-120.959702068,35.8490794503,0
-120.962881935,35.8462716482,0
-120.959567715,35.8463810737,0
-120.95943338,35.8436826954,0
-120.956119254,35.843792019,0
-120.955850861,35.838395236,0
-120.955716692,35.835696842,0
-120.952268843,35.8331076357,0
-120.948821217,35.8305183151,0
-120.945507595,35.8306273116,0
-120.945373814,35.8279288804,0
-120.941926635,35.8253393314,0
-120.938613201,35.8254481242,0
-120.941793001,35.8226408862,0
-120.938479679,35.8227496683,0
-120.935166339,35.8228583593,0
-120.931852982,35.8229669593,0
-120.928539607,35.8230754683,0
-120.938346174,35.8200512106,0
-120.935032946,35.820159891,0
-120.9317197,35.8202684803,0
-120.931586437,35.8175699995,0
-120.928273285,35.8176784871,0
-120.92814015,35.814979994,0
-120.914887812,35.8154129911,0
-120.928007034,35.8122814993,0
-120.924694087,35.8123898745,0
-120.921381123,35.8124981586,0
-120.918068141,35.8126063516,0
-120.914755141,35.8127144537,0
-120.911442124,35.8128224647,0
-120.908129089,35.8129303847,0
-120.9245611,35.8096913674,0
-120.921248247,35.8097996409,0
-120.917935377,35.8099078233,0
-120.911309583,35.810123915,0
-120.90799666,35.8102318244,0
-120.904683719,35.8103396427,0
-120.92442813,35.8069928588,0
-120.921115389,35.8071011215,0
-120.901238572,35.8077487868,0
-120.897925707,35.8078564124,0
-120.897793647,35.8051578169,0
-120.894348946,35.8025667332,0
-120.894217033,35.7998681238,0
-120.890904468,35.7999755357,0
-120.887591886,35.8000828565,0
