Lon,Lat,Pixel Value
-121.003738125,35.8665372743,194
-121.000423226,35.8666478803,177
-120.997108309,35.8667583951,176
-120.993793374,35.8668688188,176
-120.990478422,35.8669791513,162
-121.000287407,35.8639496454,183
-120.996972602,35.8640601493,168
-120.993657778,35.8641705621,168
-120.990342937,35.8642808837,160
-120.9935222,35.8614723038,163
-120.990207471,35.8615826145,163
-120.986892724,35.861692834,157
-120.983577959,35.8618029625,155
-120.980263175,35.8619129997,155
-120.986757387,35.8589945523,160
-120.983442734,35.8591046698,156
-120.980128062,35.8592146962,154
-120.976813373,35.8593246315,154
-120.979992968,35.8565163911,161
-120.97667839,35.8566263155,161
-120.973363794,35.8567361488,156
-120.976543425,35.8539279979,153
-120.973228941,35.8540378203,155
-120.969914439,35.8541475516,148
-120.973094105,35.8513394903,153
-120.969779715,35.8514492107,142
-120.966465308,35.85155884,144
-120.966330714,35.8488604867,132
-120.9630164,35.848970014,140
-120.959702068,35.8490794503,140
-120.962881935,35.8462716482,123
-120.959567715,35.8463810737,129
-120.95943338,35.8436826954,110
-120.956119254,35.843792019,129
-120.955850861,35.838395236,118
-120.955716692,35.835696842,126
-120.952268843,35.8331076357,121
-120.948821217,35.8305183151,102
-120.945507595,35.8306273116,102
-120.945373814,35.8279288804,95
-120.941926635,35.8253393314,95
-120.938613201,35.8254481242,109
-120.941793001,35.8226408862,93
-120.938479679,35.8227496683,93
-120.935166339,35.8228583593,86
-120.931852982,35.8229669593,101
-120.928539607,35.8230754683,101
-120.938346174,35.8200512106,83
-120.935032946,35.820159891,83
-120.9317197,35.8202684803,92
-120.931586437,35.8175699995,89
-120.928273285,35.8176784871,81
-120.92814015,35.814979994,47
-120.914887812,35.8154129911,77
-120.928007034,35.8122814993,80
-120.924694087,35.8123898745,81
-120.921381123,35.8124981586,85
-120.918068141,35.8126063516,85
-120.914755141,35.8127144537,97
-120.911442124,35.8128224647,91
-120.908129089,35.8129303847,91
-120.9245611,35.8096913674,85
-120.921248247,35.8097996409,88
-120.917935377,35.8099078233,88
-120.911309583,35.810123915,78
-120.90799666,35.8102318244,70
-120.904683719,35.8103396427,70
-120.92442813,35.8069928588,66
-120.921115389,35.8071011215,140
-120.901238572,35.8077487868,91
-120.897925707,35.8078564124,110
-120.897793647,35.8051578169,104
-120.894348946,35.8025667332,100
-120.894217033,35.7998681238,115
-120.890904468,35.7999755357,114
-120.887591886,35.8000828565,114
