Lon,Lat,Pixel Value
-121.003738138,35.8665372731,0
-121.00042324,35.8666478791,0
-120.997108323,35.866758394,0
-120.993793388,35.8668688176,0
-120.990478435,35.8669791501,0
-121.00028742,35.8639496442,0
-120.996972615,35.8640601482,0
-120.993657792,35.8641705609,0
-120.990342951,35.8642808825,0
-120.993522214,35.8614723026,0
-120.990207485,35.8615826133,0
-120.986892737,35.8616928329,0
-120.983577972,35.8618029613,0
-120.980263189,35.8619129985,0
-120.986757401,35.8589945511,0
-120.983442747,35.8591046687,0
-120.980128076,35.8592146951,0
-120.976813386,35.8593246303,0
-120.979992981,35.85651639,0
-120.976678403,35.8566263144,0
-120.973363808,35.8567361476,0
-120.976543438,35.8539279968,0
-120.973228954,35.8540378192,0
-120.969914453,35.8541475504,0
-120.973094119,35.8513394891,0
-120.969779729,35.8514492095,0
-120.966465321,35.8515588389,0
-120.966330727,35.8488604855,0
-120.963016413,35.8489700129,0
-120.959702081,35.8490794491,0
-120.962881949,35.8462716471,0
-120.959567728,35.8463810725,0
-120.959433394,35.8436826943,0
-120.956119267,35.8437920178,0
-120.955850875,35.8383952348,0
-120.955716705,35.8356968408,0
-120.952268856,35.8331076345,0
-120.94882123,35.830518314,0
-120.945507609,35.8306273104,0
-120.945373828,35.8279288792,0
-120.941926648,35.8253393302,0
-120.938613215,35.8254481231,0
-120.941793014,35.822640885,0
-120.938479692,35.8227496671,0
-120.935166353,35.8228583581,0
-120.931852995,35.8229669582,0
-120.92853962,35.8230754671,0
-120.938346188,35.8200512095,0
-120.93503296,35.8201598898,0
-120.931719714,35.8202684791,0
-120.93158645,35.8175699984,0
-120.928273298,35.8176784859,0
-120.928140164,35.8149799929,0
-120.914887825,35.8154129899,0
-120.928007047,35.8122814982,0
-120.924694101,35.8123898733,0
-120.921381136,35.8124981574,0
-120.918068154,35.8126063505,0
-120.914755155,35.8127144525,0
-120.911442138,35.8128224636,0
-120.908129103,35.8129303836,0
-120.924561113,35.8096913663,0
-120.92124826,35.8097996397,0
-120.91793539,35.8099078221,0
-120.911309596,35.8101239139,0
-120.907996673,35.8102318232,0
-120.904683732,35.8103396416,0
-120.924428143,35.8069928576,0
-120.921115402,35.8071011203,0
-120.901238585,35.8077487856,0
-120.897925721,35.8078564113,0
-120.897793661,35.8051578158,0
-120.89434896,35.8025667321,0
-120.894217046,35.7998681227,0
-120.890904481,35.7999755345,0
-120.887591899,35.8000828554,0
