Lon,Lat,Cicyano,,Lon,Lat,CI,,LonTF,LatTF,ValueTF,Cicyano > Ci,Cicyano > 0,CI > 0,Cicyano > Ci
-122.8802118,39.11338305,0,,-122.8802118,39.11338305,160,,TRUE,TRUE,FALSE,FALSE,250,345,0
-122.8834392,39.11051919,0,,-122.8834392,39.11051919,100,,TRUE,TRUE,FALSE,FALSE,,,
-122.8799876,39.11069395,0,,-122.8799876,39.11069395,88,,TRUE,TRUE,FALSE,FALSE,,,
-122.8866663,39.10765527,0,,-122.8866663,39.10765527,154,,TRUE,TRUE,FALSE,FALSE,,,
-122.8832149,39.10783011,0,,-122.8832149,39.10783011,113,,TRUE,TRUE,FALSE,FALSE,,,
-122.8797634,39.10800485,0,,-122.8797634,39.10800485,28,,TRUE,TRUE,FALSE,FALSE,,,
-122.8864419,39.1049662,0,,-122.8864419,39.1049662,117,,TRUE,TRUE,FALSE,FALSE,,,
-122.8896686,39.10210222,0,,-122.8896686,39.10210222,155,,TRUE,TRUE,FALSE,FALSE,,,
-122.8974073,39.02879804,0,,-122.8974073,39.02879804,108,,TRUE,TRUE,FALSE,FALSE,,,
-122.8801691,39.02967136,0,,-122.8801691,39.02967136,58,,TRUE,TRUE,FALSE,FALSE,,,
-122.8767214,39.02984571,0,,-122.8767214,39.02984571,76,,TRUE,TRUE,FALSE,FALSE,,,
-122.8698259,39.03019413,0,,-122.8698259,39.03019413,47,,TRUE,TRUE,FALSE,FALSE,,,
-122.897183,39.02610899,0,,-122.897183,39.02610899,154,,TRUE,TRUE,FALSE,FALSE,,,
-122.8902881,39.02645859,0,,-122.8902881,39.02645859,84,,TRUE,TRUE,FALSE,FALSE,,,
-122.8833931,39.02680778,0,,-122.8833931,39.02680778,66,,TRUE,TRUE,FALSE,FALSE,,,
-122.8696027,39.02750494,0,,-122.8696027,39.02750494,73,,TRUE,TRUE,FALSE,FALSE,,,
-122.866155,39.02767898,0,,-122.866155,39.02767898,62,,TRUE,TRUE,FALSE,FALSE,,,
-122.8935115,39.02359477,0,,-122.8935115,39.02359477,112,,TRUE,TRUE,FALSE,FALSE,,,
-122.8900642,39.0237695,0,,-122.8900642,39.0237695,109,,TRUE,TRUE,FALSE,FALSE,,,
-122.8866168,39.02394413,0,,-122.8866168,39.02394413,106,,TRUE,TRUE,FALSE,FALSE,,,
-122.7200207,39.01875772,0,,-122.7200207,39.01875772,105,,TRUE,TRUE,FALSE,FALSE,,,
-122.706011,39.01674548,0,,-122.706011,39.01674548,88,,TRUE,TRUE,FALSE,FALSE,,,
-122.6887699,39.01759028,0,,-122.6887699,39.01759028,164,,TRUE,TRUE,FALSE,FALSE,,,
-122.7264816,39.0130385,0,,-122.7264816,39.0130385,106,,TRUE,TRUE,FALSE,FALSE,,,
-122.716138,39.01354746,0,,-122.716138,39.01354746,119,,TRUE,TRUE,FALSE,FALSE,,,
-122.71269,39.01371691,0,,-122.71269,39.01371691,113,,TRUE,TRUE,FALSE,FALSE,,,
-122.7092421,39.01388626,0,,-122.7092421,39.01388626,113,,TRUE,TRUE,FALSE,FALSE,,,
-122.7057941,39.01405551,0,,-122.7057941,39.01405551,120,,TRUE,TRUE,FALSE,FALSE,,,
-122.702346,39.01422466,0,,-122.702346,39.01422466,88,,TRUE,TRUE,FALSE,FALSE,,,
-122.698898,39.0143937,0,,-122.698898,39.0143937,116,,TRUE,TRUE,FALSE,FALSE,,,
-122.6954499,39.01456265,0,,-122.6954499,39.01456265,118,,TRUE,TRUE,FALSE,FALSE,,,
-122.6920018,39.01473149,0,,-122.6920018,39.01473149,142,,TRUE,TRUE,FALSE,FALSE,,,
-122.6885537,39.01490023,0,,-122.6885537,39.01490023,138,,TRUE,TRUE,FALSE,FALSE,,,
-122.6816573,39.01523741,0,,-122.6816573,39.01523741,154,,TRUE,TRUE,FALSE,FALSE,,,
-122.7297116,39.01017878,0,,-122.7297116,39.01017878,111,,TRUE,TRUE,FALSE,FALSE,,,
-122.7262639,39.01034862,0,,-122.7262639,39.01034862,135,,TRUE,TRUE,FALSE,FALSE,,,
