Lon,Lat,Pixel Value
-121.003602194,35.8638390503,0
-121.000287407,35.8639496454,0
-120.996972602,35.8640601493,0
-120.993657778,35.8641705621,0
-120.990342937,35.8642808837,0
-121.000151605,35.8612514088,0
-120.996836912,35.8613619019,0
-120.9935222,35.8614723038,0
-120.990207471,35.8615826145,0
-120.99338664,35.8587740438,0
-120.990072023,35.8588843436,0
-120.986757387,35.8589945523,0
-120.983442734,35.8591046698,0
-120.980128062,35.8592146962,0
-120.986622069,35.8562962689,0
-120.983307527,35.8564063756,0
-120.979992968,35.8565163911,0
-120.97667839,35.8566263155,0
-120.979857891,35.8538180844,0
-120.976543425,35.8539279979,0
-120.973228941,35.8540378203,0
-120.976408478,35.8512296787,0
-120.973094105,35.8513394903,0
-120.969779715,35.8514492107,0
-120.972959288,35.8486411585,0
-120.96964501,35.8487508682,0
-120.966330714,35.8488604867,0
-120.966196137,35.8461621316,0
-120.962881935,35.8462716482,0
-120.959567715,35.8463810737,0
-120.962747489,35.8435732808,0
-120.95943338,35.8436826954,0
-120.959299063,35.8409843155,0
-120.955985049,35.8410936283,0
-120.955716692,35.835696842,0
-120.95558254,35.8329984463,0
-120.95213482,35.8304092276,0
-120.948687324,35.8278198947,0
-120.945373814,35.8279288804,0
-120.945240051,35.8252304475,0
-120.941793001,35.8226408862,0
-120.938479679,35.8227496683,0
-120.941659385,35.8199424393,0
-120.938346174,35.8200512106,0
-120.935032946,35.820159891,0
-120.9317197,35.8202684803,0
-120.928406437,35.8203769785,0
-120.938212688,35.8173527514,0
-120.934899571,35.817461421,0
-120.931586437,35.8175699995,0
-120.931453191,35.8148715172,0
-120.92814015,35.814979994,0
-120.928007034,35.8122814993,0
-120.914755141,35.8127144537,0
-120.927873935,35.809583003,0
-120.9245611,35.8096913674,0
-120.921248247,35.8097996409,0
-120.917935377,35.8099078233,0
-120.914622489,35.8100159146,0
-120.911309583,35.810123915,0
-120.90799666,35.8102318244,0
-120.92442813,35.8069928588,0
-120.921115389,35.8071011215,0
-120.91780263,35.8072092932,0
-120.91117706,35.8074253637,0
-120.907864248,35.8075332624,0
-120.904551419,35.8076410701,0
-120.924295178,35.8042943484,0
-120.920982548,35.8044026005,0
-120.9011064,35.8050502019,0
-120.897793647,35.8051578169,0
-120.897661605,35.8024592198,0
-120.894217033,35.7998681238,0
-120.894085137,35.7971695128,0
-120.890772684,35.797276914,0
-120.887460213,35.7973842243,0
