date	waterbody	pixel 	site	lat	long	secchi_disappear_m	secchi_reappear_m	time	temp_C	pH	 cond_us 	DO_mgL	turb_ntu	chla_ugL
1-Aug-19	LakeSanAntonio_20190801	P1	S1	35.85672	-120.97341	0.62	0.52	10:27	25.9	9.34	310.8	9.22	8.74	37.66
1-Aug-19	LakeSanAntonio_20190801	P1	S2	35.85629	-120.97363	0.61	0.59	11:19	26.4	9.38	312	8.91	10.34	38.42
1-Aug-19	LakeSanAntonio_20190801	P1	S3	35.85738	-120.97282	0.56	0.59	11:40	26	9.41	310.8	9.92	9.29	49.32
1-Aug-19	LakeSanAntonio_20190801	P2	S1	35.83334	-120.95298	0.91	0.87	12:21	25.8	9.25	313.4	7.14	5.36	20.15
1-Aug-19	LakeSanAntonio_20190801	P2	S2	35.83358	-120.95229	0.83	0.81	12:48	25.9	9.24	314.2	7.42	5.35	24.28
1-Aug-19	LakeSanAntonio_20190801	P2	S3	35.83391	-120.95346	0.75	0.8	13:11	26.3	9.23	313.6	7.42	4.71	33.64
1-Aug-19	LakeSanAntonio_20190801	P3	S1	35.84666	-120.95964	0.7	0.72	13:35	27.2	9.28	313.5	8.49	5.44	33.68
1-Aug-19	LakeSanAntonio_20190801	P3	S2	35.84705	-120.96039	0.8	0.77	13:57	27.5	9.33	314.7	9.02	5.46	37.08
1-Aug-19	LakeSanAntonio_20190801	P3	S3	35.84622	-120.95975	0.77	0.76	14:15	26.9	9.36	314.2	9.37	6.11	41.42
7-Aug-19	ClearLake_20190807	P1	S1	38.97833	-122.70942	2.38	2.22	10:50	27.2	8.85	285.1	12.21	3.4	30.75
7-Aug-19	ClearLake_20190807	P1	S2	38.97867	-122.70951	2.27	2.25	11:30	27.5	8.91	284.1	12.75	2.9	24.35
7-Aug-19	ClearLake_20190807	P1	S3	38.97916	-122.70921	2.38	3.34	11:48	27.5	8.9	284.2	12.86	3.52	22.68
7-Aug-19	ClearLake_20190807	P2	S1	38.97144	-122.69845	2.53	2.49	12:18	27.5	8.8	286.5	11.55	7.2	26.93
7-Aug-19	ClearLake_20190807	P2	S2	38.97125	-122.69933	2.49	2.44	12:41	27.5	8.83	286.1	11.85	3.42	19.48
7-Aug-19	ClearLake_20190807	P2	S3	38.97196	-122.69879	2.39	2.35	13:09	27.8	8.8	285.9	12.3	4.43	33.81
7-Aug-19	ClearLake_20190807	P3	S1	38.98331	-122.717	2.71	2.62	13:37	27.7	8.82	284.7	12.46	1.9	15.96
7-Aug-19	ClearLake_20190807	P3	S2	38.9833	-122.71766	2.85	2.77	14:08	27.8	8.8	285.1	12.28	2.38	17.52
7-Aug-19	ClearLake_20190807	P3	S3	38.98348	-122.71617	2.35	NA	14:48	27.7	8.81	285	12.21	3.47	15.54
12-Aug-19	SanPabloReservoir_20190812	P1	S1	37.93301	-122.24886	1.1	1.05	10:48	23.4	8.89	237.3	9.01	3.46	12.75
12-Aug-19	SanPabloReservoir_20190812	P1	S2	37.9339	-122.24944	1.07	1.02	11:20	23.6	8.92	237.4	9.23	3.29	13.42
12-Aug-19	SanPabloReservoir_20190812	P1	S3	37.93353	-122.25034	1.09	1.03	11:44	23.5	8.96	237.4	9.44	3.18	12.77
12-Aug-19	SanPabloReservoir_20190812	P2	S1	37.92879	-122.24569	1.09	1.15	12:40	23.8	8.91	238	9	3.09	11.04
12-Aug-19	SanPabloReservoir_20190812	P2	S2	37.92838	-122.2453	1.09	1.13	13:04	24.1	8.91	238	9.11	3.09	10.72
12-Aug-19	SanPabloReservoir_20190812	P2	S3	37.92761	-122.24441	1.06	1.02	13:24	24.5	8.94	238.2	9.49	2.89	11.1
12-Aug-19	SanPabloReservoir_20190812	P3	S1	37.93599	-122.25276	1.05	1.02	14:02	24.5	9	239.2	9.64	2.81	9.97
12-Aug-19	SanPabloReservoir_20190812	P3	S2	37.93659	-122.25378	1.11	1.01	14:23	24.4	9.01	239.3	9.75	2.77	10.23
12-Aug-19	SanPabloReservoir_20190812	P3	S3	37.93493	-122.25191	1.09	1.02	14:56	23.8	9	238.8	9.68	3.01	10.52
15-Aug-19	LakeAlmanor_20190815	P1	S1	40.29401	-121.19313	NA	NA	10:30	22.7	8.52	95.7	8.36	0.78	1.57
15-Aug-19	LakeAlmanor_20190815	P1	S2	40.29356	-121.19407	3.77	3.52	11:12	22.7	8.56	95.6	8.39	0.8	1.67
15-Aug-19	LakeAlmanor_20190815	P1	S3	40.29434	-121.19446	3.67	3.74	11:36	22.9	8.58	97	8.39	0.98	1.72
15-Aug-19	LakeAlmanor_20190815	P2	S1	40.29947	-121.19711	3.68	3.56	11:55	22.7	8.56	95.5	8.4	0.65	1.69
15-Aug-19	LakeAlmanor_20190815	P2	S2	40.30077	-121.19738	3.21	3.35	12:13	23.2	8.56	95.3	8.34	0.74	1.69
15-Aug-19	LakeAlmanor_20190815	P2	S3	40.29917	-121.196	3.99	3.87	12:54	22.9	8.54	96.1	8.47	0.72	1.73
15-Aug-19	LakeAlmanor_20190815	P3	S1	40.26472	-121.18719	5.24	5.57	13:26	23.1	8.37	95	8.04	0.41	1.19
15-Aug-19	LakeAlmanor_20190815	P3	S2	40.26411	-121.18857	5.19	4.94	13:53	23	8.4	95.3	8.04	0.4	1.1
