uniqueID	waterbody	sample	site	rep	band	rrs	sd
ClearLake_20190807-P1S1_1	ClearLake_20190807	P1S1_1	P1S1	1	b07_620	0.014174764474486642	2.980660708617854e-4
ClearLake_20190807-P1S1_1	ClearLake_20190807	P1S1_1	P1S1	1	b08_665	0.009849121344452217	8.389797137819631e-4
ClearLake_20190807-P1S1_1	ClearLake_20190807	P1S1_1	P1S1	1	b10_681	0.008424583354274323	3.08051874569452e-4
ClearLake_20190807-P1S1_1	ClearLake_20190807	P1S1_1	P1S1	1	b11_709	0.013429149029587506	9.306306390360514e-4
ClearLake_20190807-P1S1_2	ClearLake_20190807	P1S1_2	P1S1	2	b07_620	0.014121426773602005	2.9188864961389986e-4
ClearLake_20190807-P1S1_2	ClearLake_20190807	P1S1_2	P1S1	2	b08_665	0.00986570619442086	8.188405009003199e-4
ClearLake_20190807-P1S1_2	ClearLake_20190807	P1S1_2	P1S1	2	b10_681	0.008505867077660052	3.0203471323601405e-4
ClearLake_20190807-P1S1_2	ClearLake_20190807	P1S1_2	P1S1	2	b11_709	0.013190677784890349	9.386975906785267e-4
ClearLake_20190807-P1S1_3	ClearLake_20190807	P1S1_3	P1S1	3	b07_620	0.013387143888827521	2.807210466927189e-4
ClearLake_20190807-P1S1_3	ClearLake_20190807	P1S1_3	P1S1	3	b08_665	0.00927306816177164	7.780945550986986e-4
ClearLake_20190807-P1S1_3	ClearLake_20190807	P1S1_3	P1S1	3	b10_681	0.007980114291410137	2.9071202990977387e-4
ClearLake_20190807-P1S1_3	ClearLake_20190807	P1S1_3	P1S1	3	b11_709	0.012378501274813998	8.879523875380031e-4
ClearLake_20190807-P1S2_1	ClearLake_20190807	P1S2_1	P1S2	1	b07_620	0.015414530820464864	3.1774940799235787e-4
ClearLake_20190807-P1S2_1	ClearLake_20190807	P1S2_1	P1S2	1	b08_665	0.010638024912908323	8.843085466489021e-4
ClearLake_20190807-P1S2_1	ClearLake_20190807	P1S2_1	P1S2	1	b10_681	0.009152568377798565	3.2647091043273786e-4
ClearLake_20190807-P1S2_1	ClearLake_20190807	P1S2_1	P1S2	1	b11_709	0.013924951138407651	0.0010242732450767445
ClearLake_20190807-P1S2_2	ClearLake_20190807	P1S2_2	P1S2	2	b07_620	0.012977250195856197	2.722379136174207e-4
ClearLake_20190807-P1S2_2	ClearLake_20190807	P1S2_2	P1S2	2	b08_665	0.008881518527809237	7.343224790184068e-4
ClearLake_20190807-P1S2_2	ClearLake_20190807	P1S2_2	P1S2	2	b10_681	0.007636788316676737	2.657891443693929e-4
